Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Total Claim Amount,Vehicle Class
NM57315,California,M,Bachelor,16979.79757,35095,73,0,Special Auto,525.6,Two-Door Car
JB51220,Oregon,F,High School or Below,10915.35877,0,155,1,Corporate Auto,1116,Sports Car
EN77569,Oregon,F,College,3808.122147,94903,94,0,Special Auto,451.2,Two-Door Car
YP47665,Washington,M,Doctor,5408.911507,80192,67,0,Personal Auto,95.193157,Four-Door Car
QO54008,Oregon,M,Master,13419.39623,0,122,0,Personal Auto,827.786203,SUV
EQ59908,California,M,Master,3237.996209,60244,83,3,Corporate Auto,326.281835,Four-Door Car
YU72540,Arizona,F,College,10357.62776,52735,65,0,Personal Auto,123.512596,Four-Door Car
BZ50261,Arizona,F,High School or Below,11619.91802,78275,72,0,Personal Auto,25.336642,Two-Door Car
QE92747,Oregon,F,Bachelor,8209.054963,77282,102,0,Corporate Auto,489.6,Four-Door Car
KG83280,California,F,College,3096.511217,21604,79,0,Personal Auto,379.2,Four-Door Car
IL42365,Arizona,F,High School or Below,4804.35851,51962,125,4,Personal Auto,788.206874,Sports Car
FI86516,Oregon,F,Bachelor,4786.054889,0,68,0,Corporate Auto,489.6,Four-Door Car
FV14881,California,F,Doctor,15886.03136,56362,197,1,Personal Auto,945.6,Luxury SUV
RR54950,Arizona,M,College,5285.079293,85753,66,1,Special Auto,316.8,Four-Door Car
FC70869,Arizona,F,High School or Below,2945.370362,36167,76,3,Personal Auto,364.8,Two-Door Car
PB60303,Oregon,F,Master,18089.79629,68568,223,1,Personal Auto,1070.4,Luxury Car
HO50571,California,F,College,10208.92761,35482,129,0,Personal Auto,619.2,SUV
BH86846,Washington,M,High School or Below,20708.25881,92079,65,1,Corporate Auto,114.798771,Four-Door Car
PC42162,Oregon,M,Bachelor,5247.852585,0,77,0,Personal Auto,554.4,Two-Door Car
KD21661,California,M,College,5179.55248,0,165,2,Personal Auto,1188,SUV
FZ73016,California,F,Bachelor,4513.435299,34558,113,0,Personal Auto,376.529086,SUV
HJ19927,Nevada,M,Master,5297.625945,14775,69,0,Personal Auto,170.939409,Four-Door Car
RJ99408,California,M,High School or Below,5377.014781,35637,68,0,Personal Auto,326.4,Four-Door Car
EL81968,Oregon,M,Bachelor,7661.388132,66726,97,1,Personal Auto,335.840529,Two-Door Car
WU86174,California,F,Bachelor,2677.279707,0,72,0,Personal Auto,345.6,Four-Door Car
DN21342,Oregon,F,College,6877.817669,0,96,0,Personal Auto,460.8,Four-Door Car
PB60406,California,F,Doctor,5714.232848,79719,71,0,Personal Auto,425.924132,Four-Door Car
IY37465,Arizona,M,Bachelor,4929.549699,25632,63,0,Corporate Auto,351.270869,Two-Door Car
LF55270,Oregon,F,College,10484.91535,61108,89,0,Personal Auto,49.451117,Four-Door Car
UV69038,California,M,College,9490.406534,0,137,0,Corporate Auto,657.6,SUV
IS63925,Arizona,F,College,7805.31287,21073,106,1,Personal Auto,508.8,SUV
CQ21583,Oregon,M,Doctor,21274.34205,17932,79,0,Personal Auto,379.2,Four-Door Car
PR21713,Nevada,M,High School or Below,5838.89915,81082,73,0,Personal Auto,281.295903,Four-Door Car
XE10977,Oregon,F,High School or Below,2677.495763,71684,66,0,Personal Auto,196.065149,Two-Door Car
JG87029,Oregon,M,High School or Below,2374.798861,57338,61,0,Personal Auto,292.8,Two-Door Car
BK21146,Arizona,M,College,22103.5072,0,102,0,Personal Auto,489.6,SUV
WE19034,Oregon,M,College,2427.770513,24409,62,0,Corporate Auto,297.6,Four-Door Car
DF62718,California,F,High School or Below,7294.40195,83488,90,0,Personal Auto,432.784577,Four-Door Car
MS59254,Washington,M,High School or Below,11360.46496,0,104,0,Corporate Auto,773.346065,Two-Door Car
WC65050,California,F,Master,2811.956395,62537,71,1,Personal Auto,354.199664,Two-Door Car
ST27958,Washington,M,College,4386.277558,10621,67,0,Personal Auto,321.6,Four-Door Car
XZ81226,Arizona,F,Bachelor,6446.918637,43478,80,0,Personal Auto,384,Four-Door Car
TU53781,Oregon,F,Bachelor,8427.172486,46503,215,1,Corporate Auto,1032,Luxury SUV
GC93551,Oregon,F,High School or Below,5290.127299,27179,66,0,Personal Auto,344.201601,Four-Door Car
MO33279,California,F,College,5592.455266,62229,70,0,Personal Auto,336,Two-Door Car
LD20926,Arizona,F,Bachelor,18892.19767,0,92,1,Personal Auto,441.6,Two-Door Car
PW90662,Oregon,M,College,13623.62257,67060,126,4,Personal Auto,339.000467,SUV
WS53288,Oregon,F,College,25464.82059,13663,97,0,Personal Auto,465.6,Four-Door Car
HE84643,California,F,High School or Below,2175.624856,0,63,0,Personal Auto,453.6,Four-Door Car
CL37990,Arizona,F,Bachelor,6699.222525,0,99,1,Corporate Auto,699.67536,Four-Door Car
HR87252,California,F,Bachelor,9043.678095,97745,113,0,Personal Auto,695.136477,Sports Car
SB27146,Oregon,F,High School or Below,4369.041685,26026,116,1,Personal Auto,283.670312,Two-Door Car
KI58952,California,F,College,51337.90677,72794,164,1,Personal Auto,50.454459,SUV
RM21896,Oregon,F,College,28699.89392,47730,91,0,Personal Auto,219.440024,Four-Door Car
JS38272,Arizona,M,College,4270.034394,0,122,0,Personal Auto,725.870693,SUV
NJ15094,Washington,F,Bachelor,5345.994644,0,72,0,Personal Auto,345.6,Four-Door Car
MZ88454,Oregon,F,Bachelor,4774.747415,0,70,0,Personal Auto,336,Four-Door Car
PO27978,Oregon,F,Doctor,14727.50526,97785,73,0,Personal Auto,236.614219,Two-Door Car
VT28596,California,F,High School or Below,4755.47946,0,66,0,Personal Auto,712.309237,Four-Door Car
TI19722,Washington,M,Doctor,3436.134281,30817,88,0,Corporate Auto,91.834668,Four-Door Car
DO83038,California,F,College,8355.774443,64502,70,0,Personal Auto,39.336222,Two-Door Car
AG62087,California,M,Bachelor,3412.566597,30335,87,0,Corporate Auto,326.132867,Four-Door Car
BA56812,Oregon,M,Master,6185.337641,21020,80,0,Corporate Auto,178.371281,Four-Door Car
QF74147,California,F,College,8456.722498,84574,70,0,Special Auto,167.459769,Four-Door Car
RN88075,Washington,F,Bachelor,3021.938522,0,84,0,Personal Auto,700.725788,Two-Door Car
OG71924,Oregon,F,Master,6966.142868,0,93,0,Personal Auto,436.143226,Four-Door Car
YF87007,Oregon,F,High School or Below,10083.48688,11828,90,0,Corporate Auto,571.479602,Four-Door Car
ZL18631,Arizona,F,College,2539.990699,54889,63,0,Personal Auto,302.4,Four-Door Car
BZ71120,Oregon,F,College,8456.455313,89918,105,0,Personal Auto,367.230882,SUV
UP60200,California,M,Bachelor,26576.31541,87002,110,0,Personal Auto,199.851173,Two-Door Car
XZ64172,Oregon,M,High School or Below,10963.95723,55687,276,0,Corporate Auto,1324.8,Luxury SUV
CA47176,Oregon,M,Bachelor,9671.98323,17103,87,0,Personal Auto,417.6,Two-Door Car
CI68869,Arizona,F,College,1898.683686,0,70,5,Personal Auto,702.020904,Two-Door Car
XT10744,Arizona,M,College,8595.146838,28441,73,0,Special Auto,686.020135,Two-Door Car
HT48275,Oregon,M,Bachelor,5532.753182,91212,69,0,Personal Auto,270.311239,Two-Door Car
HB48073,Arizona,F,Bachelor,9371.773682,66325,117,0,Corporate Auto,497.719213,SUV
MD43085,Oregon,F,Doctor,3975.321516,67895,101,4,Personal Auto,403.937672,Four-Door Car
NJ11986,Arizona,F,Master,4456.016549,29550,114,1,Corporate Auto,118.750512,Two-Door Car
HH55884,Arizona,M,College,3495.891476,10275,97,0,Personal Auto,465.6,Four-Door Car
JP69867,Nevada,M,College,8512.13221,61725,106,0,Personal Auto,508.8,Four-Door Car
FT86104,California,M,College,4650.063763,28215,65,0,Corporate Auto,468,Two-Door Car
GV39658,Arizona,F,College,13523.12989,10563,121,0,Corporate Auto,109.814874,SUV
GB66110,California,M,Bachelor,4422.409799,0,62,0,Personal Auto,722.432062,Two-Door Car
VD51297,California,M,College,7320.98824,99722,61,0,Personal Auto,292.8,Four-Door Car
EP29567,Washington,M,Master,7031.463693,16224,93,0,Corporate Auto,498.452698,Four-Door Car
PE59368,Washington,F,Bachelor,5123.484988,72096,64,0,Personal Auto,252.330905,Two-Door Car
DQ50538,Nevada,M,Bachelor,9050.756606,63800,113,0,Personal Auto,542.4,SUV
WP58340,Arizona,M,High School or Below,10963.95723,55687,276,0,Personal Auto,1324.8,Luxury SUV
TM23788,California,M,High School or Below,6039.020697,0,89,1,Personal Auto,640.8,Four-Door Car
UF44021,California,M,Bachelor,2108.493744,0,61,0,Personal Auto,351.85681,Two-Door Car
WB96917,California,M,College,9875.092794,29598,87,0,Personal Auto,150.926696,Two-Door Car
MN95006,California,M,Bachelor,6928.601611,22907,180,2,Personal Auto,49.18776,Luxury SUV
NP60037,Oregon,M,Bachelor,14318.44839,22697,186,1,Corporate Auto,892.8,Luxury SUV
NQ71171,California,M,Bachelor,5107.071054,70174,64,0,Personal Auto,128.90032,Four-Door Car
SM58898,California,F,High School or Below,17223.89108,85378,107,0,Corporate Auto,513.6,SUV
FN98595,Nevada,F,High School or Below,7516.831717,31477,94,0,Special Auto,146.950756,Four-Door Car
TW94555,Nevada,M,College,5389.499465,66429,136,0,Personal Auto,57.712985,Sports Car
XW60886,California,M,High School or Below,6275.155361,0,90,0,Personal Auto,900.242038,Four-Door Car
IE84844,Nevada,F,High School or Below,4722.237214,0,65,0,Personal Auto,655.489027,Four-Door Car
HY76810,Oregon,F,Bachelor,6282.317743,0,172,0,Corporate Auto,141.460349,SUV
JL41129,California,M,Bachelor,7986.191274,74217,100,0,Personal Auto,418.005524,SUV
OQ41280,Nevada,M,High School or Below,6503.219978,46298,88,3,Corporate Auto,128.292466,Four-Door Car
AP65984,Oregon,F,College,4881.753428,0,135,0,Personal Auto,648,SUV
EE99484,Washington,F,High School or Below,2514.59196,43860,65,0,Corporate Auto,156.124914,Four-Door Car
XM39121,Arizona,F,College,7955.442668,0,69,0,Personal Auto,331.2,Four-Door Car
DK49336,Arizona,M,College,4809.21696,48029,61,0,Corporate Auto,292.8,Four-Door Car
HB43486,Washington,F,College,9696.548818,86830,123,0,Personal Auto,480.533246,SUV
KB15252,Arizona,F,College,8709.321889,0,77,0,Personal Auto,509.100577,Two-Door Car
BN83547,Nevada,F,High School or Below,2858.452328,40706,71,0,Personal Auto,166.123172,Four-Door Car
MC55901,California,F,High School or Below,5233.949019,69231,65,0,Personal Auto,193.243084,Four-Door Car
PZ98142,Arizona,F,College,13494.76017,0,132,0,Personal Auto,950.4,SUV
GB43363,Oregon,M,College,6870.607058,0,105,0,Personal Auto,756,Four-Door Car
TH67541,Arizona,F,High School or Below,5652.72374,16171,74,0,Corporate Auto,311.004168,Four-Door Car
WC21901,Arizona,M,College,2345.262087,51397,61,0,Personal Auto,292.8,Four-Door Car
CL38124,Oregon,F,Bachelor,19688.31898,83879,69,0,Personal Auto,212.148485,Four-Door Car
XH89851,California,F,College,7247.206475,63267,92,0,Personal Auto,530.340202,Four-Door Car
KA58700,Nevada,M,College,6085.304178,44712,82,2,Corporate Auto,537.78416,Four-Door Car
ZB40259,California,M,Doctor,5480.070226,59311,69,0,Corporate Auto,14.812808,Four-Door Car
JV63229,Arizona,M,Bachelor,6876.309925,81957,86,0,Personal Auto,433.426544,Four-Door Car
SI31035,Arizona,M,Doctor,5368.887709,59601,67,0,Personal Auto,321.6,Four-Door Car
JW30054,Oregon,M,High School or Below,8283.066678,71034,103,0,Corporate Auto,494.4,Four-Door Car
AP56340,Washington,M,Bachelor,5384.671725,13103,72,0,Personal Auto,458.003651,Four-Door Car
FN44127,Oregon,M,College,3508.569533,20978,98,1,Personal Auto,1176.2788,Four-Door Car
QE79527,California,F,Bachelor,8427.172486,46503,215,1,Personal Auto,1032,Luxury SUV
UP36767,California,M,College,4553.809528,61064,113,0,Personal Auto,539.774172,SUV
PG43749,Oregon,F,College,4318.433036,17572,110,0,Personal Auto,639.769748,Two-Door Car
LL96228,Oregon,M,Master,14091.19449,99823,116,0,Corporate Auto,250.183388,SUV
OV40993,Nevada,F,College,8693.631249,17453,118,1,Personal Auto,566.4,SUV
MA80983,Oregon,M,College,6661.181553,55663,166,0,Personal Auto,194.739777,SUV
SA54664,Washington,M,Master,2654.380994,73196,66,1,Personal Auto,85.809817,Four-Door Car
TW12556,Oregon,F,High School or Below,4428.031583,58577,110,0,Personal Auto,303.872752,SUV
TC88451,Nevada,F,High School or Below,5738.277584,88055,71,0,Personal Auto,337.727542,Four-Door Car
BL93659,California,M,Bachelor,5815.049178,0,80,0,Personal Auto,384,Four-Door Car
SI20178,California,M,High School or Below,4425.905071,80892,110,0,Personal Auto,528,SUV
KC50464,Arizona,F,Master,2574.020376,34990,65,0,Corporate Auto,42.689135,Four-Door Car
HG64216,California,M,College,2832.513487,37124,72,0,Personal Auto,430.518791,Two-Door Car
XM91056,California,F,High School or Below,4876.315707,22236,62,0,Personal Auto,409.425049,Two-Door Car
KN13494,Washington,F,Master,5181.620895,97131,64,0,Personal Auto,307.2,Four-Door Car
OC47565,Oregon,F,College,5947.215835,67760,74,0,Special Auto,465.278453,Four-Door Car
HH14259,Arizona,F,Bachelor,2563.863345,0,69,0,Personal Auto,97.691104,Four-Door Car
QF66741,Nevada,M,College,15144.40954,0,62,1,Personal Auto,307.649586,Two-Door Car
LY46898,California,M,High School or Below,5558.304507,37473,70,0,Corporate Auto,336,Four-Door Car
MK73855,Washington,F,High School or Below,8109.364607,32314,68,0,Personal Auto,326.4,Four-Door Car
HU82227,Arizona,M,College,15638.57599,49214,102,3,Corporate Auto,371.322406,Four-Door Car
FF75737,Oregon,F,High School or Below,8334.317162,49851,69,1,Personal Auto,331.2,Four-Door Car
KJ50265,Washington,M,High School or Below,10418.31143,27951,91,0,Personal Auto,436.8,Four-Door Car
OQ82364,Nevada,F,Bachelor,6846.150323,0,95,0,Corporate Auto,456,Two-Door Car
SO47345,Arizona,F,Master,9403.875138,56410,117,0,Personal Auto,523.99823,SUV
JN51592,Arizona,F,Bachelor,16985.49688,22497,212,0,Special Auto,1017.6,Luxury Car
FH36069,Arizona,F,College,21101.21422,61347,106,0,Personal Auto,604.237801,SUV
ZW32080,Nevada,F,Bachelor,2914.955295,37803,74,0,Personal Auto,355.2,Four-Door Car
ZH98656,Nevada,F,Master,8593.866533,91276,105,0,Personal Auto,504,SUV
GZ31904,Oregon,M,College,6861.745956,30816,87,0,Personal Auto,237.57033,Two-Door Car
PN47493,Oregon,F,College,2680.900678,41968,67,0,Corporate Auto,183.207703,Four-Door Car
CX18273,Arizona,M,Master,15797.98978,35754,199,0,Personal Auto,612.973779,Luxury Car
IG80173,California,F,Master,2863.312165,36706,71,0,Personal Auto,435.606086,Four-Door Car
JG76775,Washington,M,High School or Below,30061.69259,48258,249,0,Personal Auto,1195.2,Luxury Car
JR82641,Arizona,M,Master,10682.7619,52965,134,3,Personal Auto,83.815183,SUV
NW41789,Oregon,M,Bachelor,2746.90319,0,84,0,Personal Auto,604.8,Four-Door Car
VG74039,Oregon,F,Bachelor,2388.949198,0,65,0,Personal Auto,455.644704,Four-Door Car
DV27428,Oregon,M,High School or Below,13776.74135,62634,116,0,Personal Auto,122.017931,SUV
AN57220,Oregon,F,Bachelor,17263.64048,96917,61,0,Special Auto,71.942176,Four-Door Car
VD62056,Arizona,F,High School or Below,4669.22664,76157,116,0,Personal Auto,556.8,Two-Door Car
AH92481,California,F,College,4673.196379,53219,117,0,Corporate Auto,561.6,SUV
LX97765,Arizona,F,College,4347.591949,81412,109,0,Personal Auto,344.294164,Two-Door Car
JP82211,California,F,College,33873.18123,59744,105,0,Personal Auto,476.486416,SUV
SI88726,California,F,College,9100.787395,38898,117,0,Corporate Auto,561.6,SUV
MG46007,California,M,High School or Below,6358.251692,0,94,2,Personal Auto,17.938979,Four-Door Car
GL69461,Oregon,F,College,2628.468543,99961,66,2,Personal Auto,316.8,Four-Door Car
RA63927,Oregon,M,High School or Below,7193.101159,30886,91,0,Personal Auto,103.424766,Two-Door Car
UE76013,Washington,F,Master,5039.869278,35984,128,3,Personal Auto,275.577631,SUV
RI35792,Nevada,F,College,3962.825542,0,125,4,Personal Auto,539.5622,SUV
WL63802,California,M,High School or Below,6425.709981,0,181,0,Personal Auto,1303.2,Luxury Car
KZ29413,Oregon,M,Master,15672.69696,0,139,0,Personal Auto,667.2,SUV
SN23932,Arizona,M,Master,3237.996209,60244,83,3,Personal Auto,326.281835,Four-Door Car
YW26148,California,F,High School or Below,12992.27561,0,72,0,Personal Auto,518.4,Four-Door Car
LS51818,California,F,College,22217.96796,37553,187,0,Personal Auto,897.6,Luxury Car
ZG47195,Nevada,M,College,4931.258363,0,73,0,Personal Auto,525.6,Four-Door Car
No50634,Oregon,M,College,4330.38602,60475,107,0,Personal Auto,513.6,Four-Door Car
GC42314,Arizona,M,Doctor,8296.176276,0,111,0,Personal Auto,672.91665,SUV
SD77009,California,M,College,8334.359986,0,136,2,Personal Auto,979.2,SUV
OW85480,California,M,Master,5348.071007,25545,69,0,Personal Auto,331.2,Four-Door Car
SW93780,Arizona,M,Master,2398.740007,24182,66,0,Personal Auto,316.8,Four-Door Car
ZW51071,Oregon,F,High School or Below,6622.05254,80979,84,2,Personal Auto,25.961213,Four-Door Car
CK74127,Arizona,M,Bachelor,4155.946211,0,62,0,Corporate Auto,446.4,Four-Door Car
KM52241,Arizona,F,High School or Below,8430.059143,0,74,0,Personal Auto,47.502366,Four-Door Car
PE66545,Oregon,M,Bachelor,2545.518369,29250,64,0,Personal Auto,308.240792,Two-Door Car
GG70928,California,F,Master,5004.583872,33566,63,1,Personal Auto,205.043307,Four-Door Car
GI36262,Washington,F,College,2899.702858,65247,72,0,Corporate Auto,381.238176,Four-Door Car
MH85165,California,M,High School or Below,6767.806751,39650,86,0,Personal Auto,922.335972,Four-Door Car
AM26717,California,M,Bachelor,3123.080994,0,101,4,Personal Auto,960.115399,SUV
CV90092,Oregon,M,College,8184.691323,82680,68,0,Corporate Auto,326.4,Four-Door Car
CL70684,California,M,High School or Below,7636.279594,0,111,0,Corporate Auto,799.2,Two-Door Car
GK13851,Oregon,M,College,9227.567263,0,129,0,Personal Auto,619.2,SUV
TQ73726,Oregon,M,Bachelor,7587.337272,0,69,0,Personal Auto,460.741097,Two-Door Car
RW65977,Arizona,M,College,2191.133237,0,61,1,Special Auto,439.2,Four-Door Car
EY74093,Nevada,M,High School or Below,5004.135361,86834,64,0,Corporate Auto,0.099007,Four-Door Car
YG11074,Arizona,F,Bachelor,4794.931261,46143,122,0,Personal Auto,223.028356,SUV
HW65139,California,M,Doctor,26730.06042,21275,240,0,Personal Auto,1152,Luxury SUV
BT49333,Arizona,M,High School or Below,4260.765808,47746,106,0,Personal Auto,246.696768,SUV
KN78424,California,M,College,15477.27854,51675,196,0,Corporate Auto,940.8,Sports Car
TH68648,California,M,College,5126.836814,85522,64,0,Personal Auto,165.002742,Four-Door Car
GZ22403,Oregon,M,High School or Below,4068.092649,0,63,4,Personal Auto,753.22565,Two-Door Car
NU26460,Oregon,F,College,17712.20524,0,84,0,Corporate Auto,633.294203,Four-Door Car
PB21909,Oregon,M,Bachelor,9775.816061,55632,123,0,Personal Auto,478.609999,SUV
TA78865,Nevada,M,High School or Below,20534.39224,0,93,0,Special Auto,669.6,Four-Door Car
FP23103,Oregon,M,Bachelor,5800.188903,0,78,0,Special Auto,374.4,Two-Door Car
YK43172,Arizona,M,Bachelor,3319.620511,69152,89,4,Personal Auto,221.359492,Four-Door Car
YZ36062,Oregon,M,Bachelor,6529.431827,13476,67,2,Corporate Auto,433.588181,Four-Door Car
SJ29837,Washington,F,High School or Below,7602.663689,0,105,0,Personal Auto,914.538629,SUV
RC72799,Oregon,F,College,2839.808041,33252,71,0,Personal Auto,407.668083,Four-Door Car
AN67558,Nevada,M,College,3288.209809,0,102,1,Personal Auto,734.4,SUV
EQ62488,Oregon,F,College,15031.5645,59456,189,0,Personal Auto,907.2,Luxury Car
OA92714,California,F,Bachelor,5055.902381,88989,63,1,Personal Auto,232.745161,Four-Door Car
QS76805,Arizona,M,High School or Below,8012.917253,0,107,0,Corporate Auto,513.6,SUV
PQ46798,California,F,College,8300.70769,17034,113,0,Personal Auto,542.4,Sports Car
IA56290,Arizona,F,College,2516.103555,88435,62,0,Personal Auto,136.263492,Four-Door Car
XU35186,California,F,High School or Below,2749.407985,71445,70,2,Personal Auto,336,Four-Door Car
DR84620,California,M,Bachelor,8071.334962,72149,101,0,Personal Auto,69.310166,SUV
QG27547,Oregon,F,Bachelor,2867.312197,23376,78,0,Personal Auto,374.4,Four-Door Car
NM95102,Oregon,M,High School or Below,7285.030983,44788,61,0,Personal Auto,386.031248,Four-Door Car
